Finished,RecordedDate,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q8_1,Q8_4,Q8_5,Q8_6,Q8_7,Q8_7_TEXT,Q9_1,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_12_TEXT,Q11,Q12,Q13,Q15_1,Q15_4,Q15_13,Q15_12,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
TRUE,10/3/25 16:56,Agree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,,,,,,,,,,,,,,,,,,UC Berkeley,Senate Faculty,"Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,,,,,,,
TRUE,10/6/25 11:11,Agree,Somewhat agree,Somewhat agree,Unsure / Unapplicable,Strongly agree,Unsure / Unapplicable,Neutral,Somewhat agree,Unsure / Unapplicable,Somewhat agree,Somewhat agree,Not confident at all,Not confident at all,Slightly confident,Not confident at all,Not confident at all,Not confident at all,Slightly confident,Slightly confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,Podcasts,,,,,Theoretical frameworks,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)",Another discipline,,,,A person with a minoritized gender identity in my disicpline,,,,,,,
TRUE,10/6/25 21:02,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Very confident,Moderately confident,Moderately confident,Moderately confident,Very confident,Moderately confident,Moderately confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,,,Scholarly articles,Short video clips,,,,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,,,,,,None of the above
TRUE,10/7/25 4:50,Agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Moderately confident,Not confident at all,Moderately confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,Expert interviews,Podcasts,,,,,,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,,A person who is first in my family to go to college,,,,
TRUE,10/7/25 13:12,Agree,Somewhat agree,Somewhat agree,Unsure / Unapplicable,Somewhat disagree,Neutral,Somewhat agree,Strongly agree,Neutral,Neutral,Somewhat disagree,Very confident,Moderately confident,Very confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,,Scholarly articles,,,,,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,,A person who is first in my family to go to college,,,,
TRUE,10/20/25 10:35,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Not confident at all,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,Expert interviews,,Scholarly articles,,,,Theoretical frameworks,,,UC Santa Cruz,"Lecturer (Unit 18, continuing, or senior)","History, Languages, and Literatures",,,A member of the LGBTQIA+ community,,,,,,,,
TRUE,10/20/25 14:41,Agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Very confident,Moderately confident,Very confident,Very confident,Moderately confident,Moderately confident,Very confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,Discussion prompts,,,,,Simulations,,,,,UC Santa Cruz,Senate Faculty,"Creative and Performing Arts, Media, and Design","A Black, Indigenous, and/or person of color (BIPOC)","A transgender, non-binary, and/or genderqueer person",A member of the LGBTQIA+ community,A person with a minoritized gender identity in my disicpline,A person living with a disability,,,,,,
TRUE,10/29/25 10:46,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Very confident,Moderately confident,Moderately confident,Moderately confident,Very confident,Slightly confident,Moderately confident,Very confident,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,Expert interviews,,,Short video clips,,,,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,,,,,,None of the above
TRUE,10/29/25 16:20,Agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very confident,Very confident,Very confident,Slightly confident,Moderately confident,Moderately confident,Very confident,Very confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,Discussion prompts,,,Scholarly articles,Short video clips,,,,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,,,,,None of the above
TRUE,9/23/25 17:36,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Slightly confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,,,Scholarly articles,,,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,,A person who is first in my family to go to college,,,,
TRUE,9/24/25 9:51,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Strongly disagree,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,Discussion prompts,,,Scholarly articles,,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,,,,,,Decline to state,
TRUE,9/25/25 17:24,Agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not confident at all,Moderately confident,Not confident at all,Not confident at all,Very confident,Not confident at all,Slightly confident,Slightly confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,,,Scholarly articles,,,,,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,A person with a minoritized gender identity in my disicpline,,,,,,,
