StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q8_1,Q8_4,Q8_5,Q8_6,Q8_7,Q8_7_TEXT,Q9_1,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_12_TEXT,Q11,Q12,Q13,Q15_1,Q15_4,Q15_13,Q15_12,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
2025-09-23 13:52:36,2025-09-23 13:55:21,IP Address,136.152.214.2,100,164,True,2025-09-23 13:55:21,R_1c1xrtRwynYgGqp,,,,,37.8906,-122.2936,anonymous,EN,Agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Very confident,Very confident,Very confident,Very confident,Moderately confident,Moderately confident,Very confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,Scholarly articles,,,,,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,,,A person who immigrated to the United States,,
2025-09-23 13:53:36,2025-09-23 13:57:42,IP Address,136.152.214.137,100,245,True,2025-09-23 13:57:43,R_1O858blRxBPdPgf,,,,,37.8906,-122.2936,anonymous,EN,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Unsure / Unapplicable,Strongly disagree,Strongly disagree,Moderately confident,Very confident,Very confident,Moderately confident,Moderately confident,Very confident,Very confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,,,,,,,,"Another resource, please describe:",I'm not sure I understand the question. Sorry.,UC Berkeley,Another role,"Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,A person living with a disability,,,,A person who immigrated to the United States,,
2025-09-23 13:52:31,2025-09-23 13:58:03,IP Address,76.132.39.141,100,332,True,2025-09-23 13:58:03,R_18D1NfwakV0cUow,,,,,37.9622,-122.3455,anonymous,EN,Agree,Neutral,Neutral,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Moderately confident,Very confident,Very confident,Slightly confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,"Another format, please describe:","organized visits of colleagues to each other's classes, and review of course materials",,,,,,,,,,"Another resource, please describe:","collegial attention to each others' teaching.  The way we do research, duh...",UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,,,,,,None of the above
2025-09-23 13:55:41,2025-09-23 13:58:43,IP Address,70.142.144.7,100,182,True,2025-09-23 13:58:44,R_3I6jGy95fKpCF5a,,,,,37.8487,-122.2209,anonymous,EN,Agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Moderately confident,Very confident,Very confident,Moderately confident,Moderately confident,Very confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,"Expert interviews  ",,Scholarly articles,,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)",Social Sciences and Area Studies,,,,,,A person who is neurodivergent,A person who is first in my family to go to college,A person from a low-income family background,,,
2025-09-23 14:03:47,2025-09-23 14:07:04,IP Address,128.32.103.33,100,197,True,2025-09-23 14:07:05,R_31ifxogoaWz5ZCx,,,,,37.8736,-122.257,anonymous,EN,Agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Moderately confident,Very confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Slightly confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,,,Scholarly articles,Short video clips,,,,,,UC Berkeley,Another role,Social Sciences and Area Studies,,,,,,,,,,,None of the above
2025-09-23 14:08:46,2025-09-23 14:11:34,IP Address,128.32.223.250,100,168,True,2025-09-23 14:11:35,R_6k1iyrS3ZJYogCn,,,,,37.9387,-122.3661,anonymous,EN,Agree,Strongly agree,Neutral,Neutral,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Very confident,Moderately confident,Very confident,Moderately confident,Very confident,Very confident,Very confident,Moderately confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,Scholarly articles,,,Testimonials,Theoretical frameworks,,,UC Berkeley,Another role,"Creative and Performing Arts, Media, and Design",,,,,,,,A person from a low-income family background,,,
2025-09-23 14:08:22,2025-09-23 14:15:15,IP Address,128.32.208.149,100,412,True,2025-09-23 14:15:15,R_7CxBR3SjdhAhi8Y,,,,,37.9545,-121.9759,anonymous,EN,Agree,Strongly agree,Somewhat disagree,Unsure / Unapplicable,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,Podcasts,,,,,,"Another resource, please describe:",Expert interviews and scholarly articles but you wouldn't let me choose 4 so I've put these two together.,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,,,,,None of the above
2025-09-23 14:08:15,2025-09-23 14:19:03,IP Address,136.152.214.63,100,647,True,2025-09-23 14:19:03,R_5dNmCDOL7XPNaN3,,,,,37.8906,-122.2936,anonymous,EN,Agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Moderately confident,Slightly confident,Moderately confident,Very confident,Very confident,Moderately confident,Very confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,,,,Simulations,Testimonials,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","Science, Technology, Engineering, and Math (STEM)","A Black, Indigenous, and/or person of color (BIPOC)",,,,,A person who is neurodivergent,,,,,
2025-09-23 14:15:01,2025-09-23 14:19:13,IP Address,45.26.52.167,100,252,True,2025-09-23 14:19:14,R_3fxL3BBAjY2AF1K,,,,,37.6078,-122.3893,anonymous,EN,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Moderately confident,Very confident,Very confident,Very confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,,Short video clips,Simulations,Testimonials,,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)","A Black, Indigenous, and/or person of color (BIPOC)",,,,,,,,,,
2025-09-23 14:18:15,2025-09-23 14:25:02,IP Address,135.180.148.2,100,407,True,2025-09-23 14:25:02,R_1NPqy6d2hhY3Epr,,,,,37.7688,-122.262,anonymous,EN,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Unsure / Unapplicable,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Very confident,Moderately confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,"Another format, please describe:",reading SOTL publications,,,,Podcasts,Scholarly articles,,,,Theoretical frameworks,,,UC Berkeley,Another role,"Science, Technology, Engineering, and Math (STEM)",,,,,,,,,,,None of the above
2025-09-23 14:25:28,2025-09-23 14:28:08,IP Address,174.105.89.157,100,159,True,2025-09-23 14:28:08,R_7riU52gMMDVvUm1,,,,,39.8798,-83.0883,anonymous,EN,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Moderately confident,Very confident,Very confident,Moderately confident,Very confident,Very confident,Unsure / Unapplicable,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,,Scholarly articles,,,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,A person living with a disability,,,A person from a low-income family background,,,
2025-09-23 14:23:55,2025-09-23 14:29:21,IP Address,104.15.65.1,100,325,True,2025-09-23 14:29:21,R_7oEIKsXNqbtDzs6,,,,,37.7428,-122.1745,anonymous,EN,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Very confident,Very confident,Moderately confident,Moderately confident,Moderately confident,Slightly confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),,,,,,,,,Scholarly articles,Short video clips,,,,"Another resource, please describe:",Interactive discussions,UC Berkeley,Another role,Social Sciences and Area Studies,,,,,,,,,,,None of the above
2025-09-23 14:13:32,2025-09-23 14:41:26,IP Address,169.229.164.55,100,1673,True,2025-09-23 14:41:27,R_65uOLqJupAxHrLQ,,,,,37.9387,-122.3661,anonymous,EN,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Very confident,Moderately confident,Very confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Very confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,Discussion prompts,"Expert interviews  ",,,,,,,,,UC Berkeley,Another role,"Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,,,,,,,None of the above
2025-09-23 14:38:49,2025-09-23 14:42:37,IP Address,172.226.142.64,100,227,True,2025-09-23 14:42:37,R_7BQJwd1KTnkmRXS,,,,,38.894,-77.0365,anonymous,EN,Agree,Neutral,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Very confident,Moderately confident,Very confident,Very confident,Very confident,Moderately confident,Moderately confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",,"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,"Expert interviews  ",,,Short video clips,,,,,,UC Berkeley,Senate Faculty,"History, Languages, and Literatures",,,,,,,,,,,None of the above
2025-09-23 14:40:04,2025-09-23 14:43:32,IP Address,135.180.95.36,100,208,True,2025-09-23 14:43:33,R_12sR7ypNCSpykGJ,,,,,37.722,-122.1643,anonymous,EN,Agree,Unsure / Unapplicable,Strongly disagree,Neutral,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neutral,Moderately confident,Slightly confident,Moderately confident,Slightly confident,Slightly confident,Slightly confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,Discussion prompts,,,Scholarly articles,,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","History, Languages, and Literatures",,,,,,,,,,,
2025-09-23 14:41:50,2025-09-23 14:47:37,IP Address,136.152.24.161,100,347,True,2025-09-23 14:47:37,R_3EcAIeauST3ZNqm,,,,,37.8736,-122.257,anonymous,EN,Agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Very confident,Slightly confident,Moderately confident,Very confident,Moderately confident,Moderately confident,Very confident,Slightly confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,Discussion prompts,,,,,,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,"Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,A person living with a disability,A person who is neurodivergent,,,,,
2025-09-23 14:49:42,2025-09-23 14:54:18,IP Address,136.152.214.84,100,275,True,2025-09-23 14:54:18,R_3Vg9o46SFURKSkB,,,,,37.8906,-122.2936,anonymous,EN,Agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Neutral,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Slightly confident,Moderately confident,Moderately confident,Very confident,Very confident,Not confident at all,Moderately confident,Slightly confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,,,Scholarly articles,,,,,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,,,,Decline to state,
2025-09-23 15:45:29,2025-09-23 15:49:45,IP Address,136.152.209.18,100,256,True,2025-09-23 15:49:46,R_5NQY12IH2uLBd1F,,,,,37.8736,-122.257,anonymous,EN,Agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Moderately confident,Slightly confident,Moderately confident,Slightly confident,Slightly confident,Very confident,Very confident,Very confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,Discussion prompts,,,,Short video clips,,,,,,UC Berkeley,Another role,Social Sciences and Area Studies,,,,,,,,,,,None of the above
2025-09-23 14:03:50,2025-09-23 15:52:24,IP Address,128.32.118.108,100,6513,True,2025-09-23 15:52:24,R_1CCCzzsOon1aEq0,,,,,37.8682,-122.2865,anonymous,EN,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Neutral,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Very confident,Slightly confident,Very confident,Not confident at all,Not confident at all,Slightly confident,Slightly confident,Slightly confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,,,,Short video clips,Simulations,,,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,A person who is first in my family to go to college,,A person who immigrated to the United States,,
2025-09-23 16:18:22,2025-09-23 16:27:27,IP Address,174.160.157.45,100,544,True,2025-09-23 16:27:27,R_1HMn7IieA3hxyV0,,,,,37.7585,-122.1856,anonymous,EN,Agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat disagree,Moderately confident,Slightly confident,Moderately confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",,,,"Another format, please describe:",Please record sessions and make them accessible after hours. Many of us work day jobs,,,,,,Short video clips,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,,,,,,,None of the above
